book_id,title,authors,goodreads_average_rating,goodreads_ratings_count,original_publication_year,language_code,borrow_count,avg_user_rating,to_read_count,popularity_level
3463,A Bend in the Road,Nicholas Sparks,4.02,116800,2001.0,eng,100,4.3,34,faible
3679,On Beauty,Zadie Smith,3.68,44317,2005.0,eng,100,4.29,21,faible
5752,The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,4.07,15647,2002.0,eng,100,4.29,10,faible
7707,Pygmalion & My Fair Lady,"George Bernard Shaw, Alan Jay Lerner",4.24,13318,1956.0,,100,4.29,5,faible
365,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,3.97,89569,1987.0,en-US,100,4.28,438,faible
8087,Deerskin,Robin McKinley,3.88,15982,1993.0,en-US,100,4.28,56,faible
36,The Lord of the Rings: Weapons and Warfare,"Chris   Smith, Christopher Lee, Richard Taylor",4.53,18788,,eng,100,4.27,1211,faible
3110,Assassination Vacation,Sarah Vowell,3.98,32176,2005.0,en-US,100,4.27,9,faible
50,"Hatchet (Brian's Saga, #1)",Gary Paulsen,3.68,222553,1986.0,en-US,100,4.26,269,faible
3836,Don Quixote,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",3.85,134931,1605.0,eng,100,4.26,15,faible
4796,The Winter of Our Discontent,"John Steinbeck, Susan Shillinglaw",3.99,28050,1961.0,eng,100,4.26,49,faible
7455,Sex and the City,Candace Bushnell,3.37,39710,1996.0,,100,4.25,104,faible
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",4.54,1678823,2005.0,eng,100,4.24,973,faible
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.2,936782,1979.0,en-US,100,4.24,1767,faible
760,Memories of My Melancholy Whores,"Gabriel García Márquez, Edith Grossman",3.59,33534,2004.0,eng,100,4.24,123,faible
4271,About a Boy,Nick Hornby,3.79,101999,1998.0,en-US,100,4.24,44,faible
5167,Cane River,Lalita Tademy,4.04,38013,2001.0,en-US,100,4.24,32,faible
8965,"The Vampire's Assistant (Cirque Du Freak, #2)",Darren Shan,4.12,29943,2000.0,,100,4.24,9,faible
4035,The Burden of Proof,Scott Turow,4.05,29103,1990.0,eng,100,4.23,32,faible
3692,The Heart of the Matter,Graham Greene,3.98,19149,1948.0,eng,100,4.22,116,faible
4004,The Pilgrimage,"Paulo Coelho, Alan R. Clarke",3.64,28283,1987.0,eng,100,4.22,67,faible
4985,Welcome to the Monkey House,Kurt Vonnegut Jr.,4.13,40071,1968.0,eng,100,4.22,17,faible
5849,A House for Mr Biswas,V.S. Naipaul,3.82,13073,1961.0,en-GB,100,4.22,65,faible
9784,"Women in Love (Brangwen Family, #2)",D.H. Lawrence,3.66,22372,1920.0,eng,100,4.22,45,faible
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",4.46,1735368,2003.0,eng,100,4.21,400,faible
24,In a Sunburned Country,Bill Bryson,4.05,58688,2000.0,eng,100,4.21,431,faible
1875,"The History of Sexuality, Volume 1: An Introduction","Michel Foucault, Robert Hurley",4.03,12565,1976.0,eng,100,4.21,21,faible
4507,Sickened: The Memoir of a Munchausen by Proxy Childhood,Julie Gregory,3.72,11860,2003.0,,100,4.21,20,faible
5508,Anne Frank: Beyond the Diary - A Photographic Remembrance,"Ruud van der Rol, Rian Verhoeven, Anna Quindlen, Anne Frank, Tony Langham, Plym Peters",4.25,22725,1992.0,,100,4.21,40,faible
6697,Little Altars Everywhere,Rebecca Wells,3.55,25045,1992.0,,100,4.21,6,faible
295,Treasure Island,Robert Louis Stevenson,3.82,268012,1882.0,eng,100,4.2,1040,faible
5181,Jewel,Bret Lott,3.64,31851,1991.0,,100,4.2,15,faible
5204,We Were the Mulvaneys,Joyce Carol Oates,3.7,77251,1996.0,eng,100,4.2,14,faible
7073,A Son of the Circus,John Irving,3.61,14878,1994.0,,100,4.2,26,faible
7996,"Redwall (Redwall, #1)",Brian Jacques,4.11,73918,1986.0,eng,100,4.2,12,faible
446,The Brooklyn Follies,Paul Auster,3.81,15635,2005.0,eng,100,4.19,217,faible
840,The Design of Everyday Things,Donald A. Norman,4.18,11838,1988.0,en-US,100,4.19,206,faible
2493,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",3.87,276076,1895.0,eng,100,4.19,44,faible
2872,Falling Angels,Tracy Chevalier,3.55,18465,2001.0,eng,100,4.19,194,faible
3972,"Olympos (Ilium, #2)",Dan Simmons,3.93,11393,2005.0,en-US,100,4.19,21,faible
5481,Brave New World Revisited,Aldous Huxley,3.93,11073,1958.0,en-US,100,4.19,18,faible
6749,Oblivion,David Foster Wallace,4.07,9196,2004.0,en-US,100,4.19,14,faible
10,"Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,4.73,24618,2005.0,eng,100,4.18,1110,faible
291,The Broken Wings,"Kahlil Gibran, Anthony R. Ferris",3.93,5611,1912.0,eng,100,4.18,659,faible
5509,Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,"Miep Gies, Alison Leslie Gold",4.26,50412,1987.0,eng,100,4.18,42,faible
6514,The Bell Jar,Sylvia Plath,3.98,401605,1963.0,en-US,100,4.18,3,faible
1823,Them: Adventures with Extremists,Jon Ronson,3.94,9081,2001.0,en-US,100,4.17,27,faible
21,A Short History of Nearly Everything,Bill Bryson,4.19,191535,2003.0,en-US,100,4.16,427,faible
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.88,42170,1991.0,en-US,100,4.16,438,faible
6708,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.1,104549,1997.0,eng,100,4.16,4,faible
7679,The Terminal Man,Michael Crichton,3.34,19072,1972.0,eng,100,4.16,44,faible
9010,"I Hope They Serve Beer in Hell (Tucker Max, #1)",Tucker Max,3.51,46092,2006.0,,100,4.16,4,faible
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.37,222842,1996.0,eng,100,4.15,1812,faible
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.83,40415,1984.0,eng,100,4.15,815,faible
4381,Fahrenheit 451,Ray Bradbury,3.97,570498,1953.0,spa,100,4.15,236,faible
5659,The Wind in the Willows,"Kenneth Grahame, Gillian Avery",3.98,124612,1908.0,eng,100,4.15,18,faible
7613,Animal Farm,George Orwell,3.87,1881700,1945.0,eng,100,4.15,17,faible
7805,Pale Fire,Vladimir Nabokov,4.19,26377,1962.0,eng,100,4.15,7,faible
7987,"The Legend of Luke (Redwall, #12)",Brian Jacques,3.99,12658,1999.0,,100,4.15,36,faible
359,"The Salmon of Doubt (Dirk Gently, #3)",Douglas Adams,3.92,20177,2002.0,eng,100,4.14,1069,faible
432,"City of Glass (The New York Trilogy, #1)",Paul Auster,3.81,10157,1985.0,eng,100,4.14,435,faible
3586,"The Complete Sherlock Holmes, Vol 2","Arthur Conan Doyle, Kyle Freeman",4.46,66857,1914.0,,100,4.14,105,faible
7745,Fear and Loathing in Las Vegas,"Hunter S. Thompson, Ralph Steadman",4.08,232489,1971.0,eng,100,4.14,60,faible
8282,"The Long Winter (Little House, #6)","Laura Ingalls Wilder, Garth Williams",4.16,54443,1940.0,,100,4.14,77,faible
9557,Sputnik Sweetheart,"Haruki Murakami, Philip Gabriel",3.82,62229,1999.0,eng,100,4.14,2,faible
9822,"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",Robert C. O'Brien,4.13,135978,1971.0,,100,4.14,7,faible
2526,Blindness,"José Saramago, Giovanni Pontiero",4.08,98738,1995.0,en-US,100,4.13,26,faible
4261,Songbook,Nick Hornby,3.56,8999,2003.0,en-US,100,4.13,9,faible
7186,La Dame aux Camélias,"Alexandre Dumas fils, David Coward",3.97,13562,1848.0,eng,100,4.13,43,faible
7669,Timeline,Michael Crichton,3.83,148563,1999.0,en-US,100,4.13,48,faible
7780,The Secret Art of Dr. Seuss,"Dr. Seuss, Maurice Sendak, Audrey Geisel",4.05,8461,1995.0,,100,4.13,29,faible
4660,The 158-Pound Marriage,John Irving,3.22,10532,1974.0,en-US,100,4.12,43,faible
4692,"The Physician (Cole Family Trilogy, #1)",Noah Gordon,4.35,19310,1986.0,eng,100,4.12,95,faible
6185,Wuthering Heights,"Emily Brontë, Richard J. Dunn",3.82,899195,1847.0,eng,100,4.12,9,faible
7061,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,3.75,180320,1998.0,eng,100,4.12,21,faible
7728,"Antigone (The Theban Plays, #3)","Sophocles, J.E. Thomas",3.6,67608,-441.0,eng,100,4.12,36,faible
93,Heidi,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",3.97,144497,1880.0,eng,100,4.11,439,faible
98,What to Expect the First Year (What to Expect),"Heidi Murkoff, Sharon Mazel, Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway, Mark D. Widome",3.86,10807,1989.0,eng,100,4.11,495,faible
1635,Execution: The Discipline of Getting Things Done,"Larry Bossidy, Ram Charan, Charles Burck",3.83,18065,2009.0,en-US,100,4.11,18,faible
1715,Metamorphoses,"Ovid, David Raeburn, Denis Feeney",4.03,42590,8.0,eng,100,4.11,277,faible
5351,The Street Lawyer,John Grisham,3.81,80577,1998.0,eng,100,4.11,3,faible
6596,The Four Agreements: A Practical Guide to Personal Freedom,Miguel Ruiz,4.12,97016,1997.0,,100,4.11,24,faible
665,The Virtue of Selfishness: A New Concept of Egoism,"Ayn Rand, Nathaniel Branden",3.47,10198,1961.0,eng,100,4.1,430,faible
1192,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,3.97,32751,2005.0,,100,4.1,445,faible
1519,"The Oresteia  (Ορέστεια, #1-3)","Aeschylus, Robert Fagles, William Bedell Stanford",3.99,24588,-458.0,eng,100,4.1,157,faible
3462,The Rescue,Nicholas Sparks,4.1,142092,2000.0,en-US,100,4.1,68,faible
5527,All the King's Men,Robert Penn Warren,4.08,42821,1946.0,eng,100,4.1,76,faible
6419,"Plum Lovin' (Stephanie Plum, #12.5)",Janet Evanovich,3.7,43643,2007.0,en-US,100,4.1,19,faible
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",4.53,1753043,2000.0,eng,100,4.09,1484,faible
456,Leviathan,Paul Auster,3.95,10002,1992.0,eng,100,4.09,249,faible
900,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.73,16698,2005.0,en-US,100,4.09,319,faible
1305,Gates of Fire: An Epic Novel of the Battle of Thermopylae,Steven Pressfield,4.4,17952,1998.0,,100,4.09,47,faible
1617,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",4.3,691231,1958.0,eng,100,4.09,57,faible
2794,The Crying of Lot 49,Thomas Pynchon,3.7,48692,1966.0,en-US,100,4.09,168,faible
3478,Message in a Bottle,Nicholas Sparks,3.95,185116,1998.0,en-US,100,4.09,34,faible
3507,"Twelve Sharp (Stephanie Plum, #12)",Janet Evanovich,4.14,74747,2006.0,eng,100,4.09,41,faible
3710,The Autograph Man,Zadie Smith,3.14,8317,2002.0,eng,100,4.09,65,faible
3873,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Karen Armstrong,3.85,32506,1975.0,eng,100,4.09,67,faible
5187,The Book of Ruth,Jane Hamilton,3.82,56842,1988.0,en-US,100,4.09,139,faible
5306,Travels with Charley: In Search of America,John Steinbeck,4.07,45856,1962.0,eng,100,4.09,48,faible
5439,Interpreter of Maladies,Jhumpa Lahiri,4.12,110651,1999.0,eng,100,4.09,116,faible
6425,"Hard Eight (Stephanie Plum, #8)","Janet Evanovich, Lorelei King",4.17,93057,2002.0,en-US,100,4.09,149,faible
7053,"In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency, #6)",Alexander McCall Smith,4.07,19839,2004.0,eng,100,4.09,14,faible
112,Children of Dune (Dune Chronicles #3),Frank Herbert,3.9,74133,1976.0,eng,100,4.08,913,faible
662,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",3.68,283295,1957.0,eng,100,4.08,262,faible
2159,Confessions of an Economic Hit Man,John Perkins,3.83,19726,2004.0,en-US,100,4.08,45,faible
3381,Hey Nostradamus!,Douglas Coupland,3.72,14645,2003.0,eng,100,4.08,98,faible
3690,The Power and the Glory,"Graham Greene, John Updike",3.99,21315,1940.0,eng,100,4.08,79,faible
1420,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",4.0,515820,1600.0,eng,100,4.07,265,faible
1869,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,3.6,152786,2001.0,eng,100,4.07,195,faible
4006,The Valkyries,"Paulo Coelho, Alan R. Clarke",3.3,14364,1988.0,eng,100,4.07,58,faible
4069,Man's Search for Meaning,Viktor E. Frankl,4.33,171281,1946.0,eng,100,4.07,59,faible
4662,The Short Stories,"F. Scott Fitzgerald, Matthew J. Bruccoli",4.23,11525,1920.0,eng,100,4.07,61,faible
6295,Howl and Other Poems,"Allen Ginsberg, William Carlos Williams",4.14,71968,1956.0,eng,100,4.07,31,faible
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,3.85,2001311,2000.0,en-CA,100,4.06,166,faible
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.11,291258,1997.0,en-US,100,4.06,88,faible
3759,"Goldfinger (James Bond, #7)",Ian Fleming,3.8,13267,1959.0,eng,100,4.06,24,faible
5052,Code to Zero,Ken Follett,3.64,9071,2000.0,,100,4.06,36,faible
5114,"Raise High the Roof Beam, Carpenters & Seymour: An Introduction",J.D. Salinger,4.11,36751,1955.0,eng,100,4.06,12,faible
5359,The Client,John Grisham,3.97,320083,1993.0,eng,100,4.06,10,faible
5946,In the Skin of a Lion,Michael Ondaatje,3.88,11289,1987.0,,100,4.06,14,faible
6174,Survival in Auschwitz,"Primo Levi, Stuart J. Woolf, Philip Roth",4.28,25625,1947.0,eng,100,4.06,17,faible
6424,"Seven Up (Stephanie Plum, #7)",Janet Evanovich,4.15,94506,2001.0,en-US,100,4.06,40,faible
6759,Infinite Jest,David Foster Wallace,4.31,46742,1996.0,en-US,100,4.06,19,faible
7979,"The Bellmaker (Redwall, #7)",Brian Jacques,3.95,17476,1994.0,,100,4.06,77,faible
4982,The Sirens of Titan,Kurt Vonnegut Jr.,4.16,72493,1959.0,en-GB,100,4.05,12,faible
5182,Songs in Ordinary Time,Mary McGarry Morris,3.68,27034,1995.0,eng,100,4.05,91,faible
6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",4.1,453959,1964.0,eng,100,4.05,53,faible
6667,Boy: Tales of Childhood,"Roald Dahl, Quentin Blake",4.09,38240,1984.0,eng,100,4.05,34,faible
7510,The Beach House,"James Patterson, Peter de Jonge",3.82,68676,2002.0,eng,100,4.05,56,faible
5129,Brave New World,Aldous Huxley,3.97,1022601,1932.0,eng,100,4.04,26,faible
5354,The Brethren,John Grisham,3.71,69351,2000.0,,100,4.04,64,faible
5356,The King of Torts,John Grisham,3.67,61835,2003.0,eng,100,4.04,28,faible
5360,A Painted House,John Grisham,3.67,59974,2001.0,eng,100,4.04,162,faible
7672,Congo,Michael Crichton,3.55,129811,1980.0,eng,100,4.04,90,faible
8647,"Shadow of the Giant (Ender's Shadow, #4)",Orson Scott Card,3.98,37479,2005.0,eng,100,4.04,20,faible
8698,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,4.08,93774,1984.0,eng,100,4.04,99,faible
1371,The Iliad,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",3.83,241088,-750.0,eng,100,4.03,220,faible
2623,Great Expectations,Charles Dickens,3.75,459247,1860.0,eng,100,4.03,62,faible
5015,Saturday,Ian McEwan,3.61,45567,2005.0,en-US,100,4.03,28,faible
5369,The Amber Room,Steve Berry,3.83,16519,2003.0,,100,4.03,78,faible
7983,"Salamandastron (Redwall, #5)","Brian Jacques, Gary Chalk",4.05,23723,1992.0,en-US,100,4.03,12,faible
9650,Burmese Days,George Orwell,3.84,12119,1934.0,,100,4.03,59,faible
2696,The Canterbury Tales,"Geoffrey Chaucer, Nevill Coghill",3.48,148480,1390.0,eng,100,4.02,3,faible
4898,Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant,"W. Chan Kim, Renée Mauborgne",3.86,30665,2004.0,,100,4.02,176,faible
5159,Here on Earth,Alice Hoffman,3.68,38954,1997.0,eng,100,4.02,9,faible
5289,Complete Works of Oscar Wilde,"Oscar Wilde, Merlin Holland",4.45,10835,1908.0,eng,100,4.02,39,faible
7714,Pygmalion,George Bernard Shaw,3.9,70079,1912.0,en-US,100,4.02,27,faible
1591,Lysistrata,"Aristophanes, Sarah Ruden",3.84,25758,-411.0,eng,100,4.01,95,faible
2199,Team of Rivals: The Political Genius of Abraham Lincoln,"Doris Kearns Goodwin, Suzanne Toren",4.3,102923,2005.0,eng,100,4.01,83,faible
5055,Night Over Water,Ken Follett,3.78,12329,1991.0,eng,100,4.01,32,faible
5454,"The Second Summer of the Sisterhood (Sisterhood, #2)",Ann Brashares,3.78,67357,2003.0,en-US,100,4.01,65,faible
5872,"Regeneration (Regeneration, #1)",Pat Barker,4.03,17126,1991.0,en-GB,100,4.01,21,faible
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.95,24133,1990.0,en-US,100,4.0,348,faible
902,The Westing Game,Ellen Raskin,4.03,117108,1978.0,eng,100,4.0,109,faible
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz Zafón, Lucia Graves",4.24,263685,2001.0,eng,100,4.0,62,faible
3384,Girlfriend in a Coma,Douglas Coupland,3.61,14576,1998.0,eng,100,4.0,41,faible
5211,A Fine Balance,Rohinton Mistry,4.34,99252,1996.0,eng,100,4.0,22,faible
5352,The Summons,John Grisham,3.68,53304,2002.0,eng,100,4.0,70,faible
8952,"Killers of the Dawn (Cirque Du Freak, #9)",Darren Shan,4.22,18194,2003.0,,100,4.0,28,faible
1110,The Broker,John Grisham,3.77,65428,2005.0,eng,100,3.99,180,faible
1911,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,3.66,78271,2005.0,en-US,100,3.99,105,faible
3467,"The People of Sparks (Book of Ember, #2)",Jeanne DuPrau,3.65,40859,2004.0,eng,100,3.99,36,faible
3758,"Casino Royale (James Bond, #1)",Ian Fleming,3.73,39150,1953.0,eng,100,3.99,29,faible
5826,Bel Canto,Ann Patchett,3.92,192330,2001.0,eng,100,3.99,7,faible
8337,"Little House in the Big Woods (Little House, #1)","Laura Ingalls Wilder, Garth Williams",4.16,165127,1932.0,eng,100,3.99,39,faible
8696,Last Chance to See,"Douglas Adams, Mark Carwardine",4.33,13860,1990.0,,100,3.99,17,faible
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.86,82580,1969.0,eng,100,3.98,1051,faible
231,I am Charlotte Simmons,Tom Wolfe,3.4,19293,2004.0,en-US,100,3.98,661,faible
386,Another Bullshit Night in Suck City,Nick Flynn,3.77,8441,2004.0,eng,100,3.98,166,faible
3872,A History of the World in 6 Glasses,Tom Standage,3.74,10473,2005.0,en-US,100,3.98,69,faible
5084,My Life in France,"Julia Child, Alex Prud'Homme",4.16,63100,2006.0,eng,100,3.98,57,faible
5107,The Catcher in the Rye,J.D. Salinger,3.79,2044241,1951.0,eng,100,3.98,43,faible
3562,"Emily of New Moon (Emily, #1)",L.M. Montgomery,4.09,33317,1923.0,eng,100,3.97,12,faible
67,The Known World,Edward P. Jones,3.82,26550,2003.0,eng,100,3.96,1352,faible
428,Play It as It Lays,"Joan Didion, David Thomson",3.86,17411,1970.0,eng,100,3.96,232,faible
827,"The Diamond Age: or, A Young Lady's Illustrated Primer",Neal Stephenson,4.19,61836,1995.0,eng,100,3.96,239,faible
1627,Brokeback Mountain,Annie Proulx,3.93,19871,1997.0,en-US,100,3.96,46,faible
3061,The Natural Way to Draw,"Kimon Nicolaides, Mamie Harmon",3.88,30880,1941.0,en-US,100,3.96,164,faible
3977,"Endymion (Hyperion Cantos, #3)",Dan Simmons,4.14,30664,1996.0,eng,100,3.96,25,faible
4645,The Snows of Kilimanjaro and Other Stories,Ernest Hemingway,3.88,21365,1938.0,eng,100,3.96,67,faible
4952,What Is the What,Dave Eggers,4.16,59333,2006.0,eng,100,3.96,10,faible
5091,"The Dark Tower (The Dark Tower, #7)",Stephen King,4.27,93296,2004.0,en-US,100,3.96,71,faible
5575,Cradle and All,James Patterson,3.87,25426,1980.0,eng,100,3.96,5,faible
5805,V for Vendetta,"Alan Moore, David   Lloyd",4.25,210682,1990.0,eng,100,3.96,17,faible
431,The New York Trilogy,"Paul Auster, Art Spiegelman",3.92,34730,1987.0,eng,100,3.95,182,faible
1241,A Million Little Pieces,James Frey,3.62,184241,2003.0,en-CA,100,3.95,172,faible
2915,"The River (Brian's Saga, #2)",Gary Paulsen,3.77,14198,1991.0,,100,3.95,92,faible
3974,The Terror,Dan Simmons,4.0,21225,2007.0,eng,100,3.95,15,faible
5148,A Separate Peace,John Knowles,3.56,155901,1959.0,en-US,100,3.95,178,faible
7624,Lord of the Flies,William Golding,3.64,1605019,1954.0,eng,100,3.95,15,faible
360,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,3.96,72426,1992.0,en-US,100,3.94,696,faible
1852,The Call of the Wild,Jack London,3.83,223932,1903.0,eng,100,3.94,49,faible
2279,Truman,David McCullough,4.15,53088,1992.0,en-US,100,3.94,110,faible
5161,"The Deep End of the Ocean (Cappadora Family, #1)",Jacquelyn Mitchard,3.84,102733,1996.0,en-US,100,3.94,147,faible
5364,"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,4.31,178110,1992.0,eng,100,3.94,37,faible
6853,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,4.03,391007,1994.0,en-US,100,3.94,42,faible
320,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",4.04,490565,1967.0,eng,100,3.93,504,faible
1067,1776,David McCullough,4.06,130293,2005.0,eng,100,3.93,59,faible
2052,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,4.04,84489,1939.0,eng,100,3.93,43,faible
2517,My Name is Red,"Orhan Pamuk, Erdağ M. Göknar",3.83,27314,1998.0,eng,100,3.93,75,faible
3103,Maurice,E.M. Forster,4.02,16301,1971.0,eng,100,3.93,525,faible
4477,Complications: A Surgeon's Notes on an Imperfect Science,"Atul Gawande, Susanne Kuhlmann-Krieg",4.23,26267,2002.0,en-US,100,3.93,82,faible
4934,The Brothers Karamazov,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",4.3,155838,1880.0,eng,100,3.93,54,faible
5479,Brave New World / Brave New World Revisited,"Aldous Huxley, Christopher Hitchens",4.16,108124,1932.0,eng,100,3.93,82,faible
7493,Founding Brothers: The Revolutionary Generation,Joseph J. Ellis,3.92,31610,2000.0,en-GB,100,3.93,62,faible
9526,Embroideries,"Marjane Satrapi, Anjali Singh",3.82,11879,2006.0,eng,100,3.93,4,faible
4887,The Drama of the Gifted Child: The Search for the True Self,"Alice  Miller, Ruth Ward",4.09,9563,1979.0,en-GB,100,3.92,32,faible
6327,The Witches,"Roald Dahl, Quentin Blake",4.17,221431,1983.0,en-US,100,3.92,47,faible
9593,Galápagos,Kurt Vonnegut Jr.,3.87,48330,1985.0,,100,3.92,7,faible
28,Notes from a Small Island,Bill Bryson,3.91,66947,1995.0,eng,100,3.91,1148,faible
378,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",4.22,178432,1961.0,en-US,100,3.91,346,faible
698,Digging to America,Anne Tyler,3.53,15484,2006.0,eng,100,3.91,373,faible
2049,"The High Window (Philip Marlowe, #3)",Raymond Chandler,4.08,11080,1942.0,eng,100,3.91,19,faible
4214,Life of Pi,Yann Martel,3.88,1003228,2001.0,,100,3.91,48,faible
4950,The Hungry Tide,Amitav Ghosh,3.91,9722,2004.0,eng,100,3.91,126,faible
4983,Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations),"Harold Bloom, Terry Southern, David H. Goldsmith, James Lundquist, Lawrence R. Broer, Peter J. Reed, Loree Rackstraw, William S. Doxey, Jerome Klinkowitz, Richard Giannone, John L. Simons, Leonard Mustazza, Zoltan Ab di-Nagy, Peter Freese, Wendy B. Faris",4.35,27519,2002.0,eng,100,3.91,97,faible
5158,A Virtuous Woman,Kaye Gibbons,3.67,21311,1989.0,eng,100,3.91,5,faible
5176,While I Was Gone,Sue Miller,3.67,52244,1998.0,eng,100,3.91,18,faible
5190,Open House,Elizabeth Berg,3.68,48639,2000.0,eng,100,3.91,37,faible
5196,Tara Road,Maeve Binchy,3.88,60154,1998.0,eng,100,3.91,43,faible
5349,The Rainmaker,John Grisham,3.91,137412,1995.0,eng,100,3.91,74,faible
5358,"The Firm (Penguin Readers, Level 5)",John Grisham,3.99,488269,1991.0,eng,100,3.91,57,faible
