book_id,goodreads_book_id,best_book_id,work_id,title,authors,original_publication_year,catalog_average_rating,catalog_ratings_count,work_ratings_count,work_text_reviews_count,spark_ratings_count,spark_distinct_users_count,spark_average_rating,spark_to_read_count,spark_to_read_users_count,spark_popularity_score
665,"",665,443285,The Virtue of Selfishness: A New Concept of Egoism,"Ayn Rand, Nathaniel Branden",1961.0,3.47,10198,10682,433,100,100,4.1,430,430,5.0199
2,"",2,2809203,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",2003.0,4.46,1735368,1840548,28685,100,100,4.21,400,400,5.0167
400,"",400,1011400,Libra,Don DeLillo,1988.0,3.98,10195,11342,633,100,100,3.71,525,525,5.0117
2175,"",2175,2766347,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",1856.0,3.64,158877,186553,7617,100,99,4.24,384,384,5.0084
816,"",816,1166797,Cryptonomicon,Neal Stephenson,1999.0,4.25,72683,81409,4342,100,100,3.59,551,551,5.0045
698,"",698,3140490,Digging to America,Anne Tyler,2006.0,3.53,15484,17260,1974,100,100,3.91,373,373,4.9323
304,"",304,313957,Daniel Deronda,"George Eliot, Edmund White",1876.0,3.82,17723,19145,728,100,100,3.83,385,385,4.9273
29,"",29,2170063,The Mother Tongue: English and How It Got That Way,Bill Bryson,1990.0,3.95,24133,26951,1993,100,100,4.0,348,348,4.9261
900,"",900,387,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,2005.0,3.73,16698,19145,1517,100,100,4.09,319,319,4.9137
378,"",378,1782584,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",1961.0,4.22,178432,185392,8011,100,100,3.91,346,346,4.9061
26,"",26,1888943,The Lost Continent: Travels in Small Town America,Bill Bryson,1989.0,3.83,40254,42202,2119,100,100,3.44,447,447,4.9015
3581,"",3581,6658462,"Sherlock Holmes: The Complete Novels and Stories, Volume I",Arthur Conan Doyle,1927.0,4.45,17950,18082,505,100,100,3.69,387,387,4.9012
350,"",350,908211,Stranger in a Strange Land,Robert A. Heinlein,1961.0,3.91,220301,229222,6293,100,100,3.73,374,374,4.8972
105,"",105,3634569,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,1985.0,3.89,34822,37155,552,100,99,3.14,513,513,4.8896
50,"",50,1158125,"Hatchet (Brian's Saga, #1)",Gary Paulsen,1986.0,3.68,222553,231963,10378,100,100,4.26,269,269,4.8883
1715,"",1715,2870411,Metamorphoses,"Ovid, David Raeburn, Denis Feeney",8.0,4.03,42590,47948,1121,100,100,4.11,277,277,4.8685
1524,"",1524,1881648,"Agamemnon (Oresteia, #1)","Aeschylus, Judith Affleck, Philip de May, Patricia E. Easterling, John     Harrison",-458.0,3.82,11515,11932,187,100,100,3.9,306,306,4.8612
2612,"",2612,2124255,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2000.0,3.92,490504,499066,10895,100,100,3.81,315,315,4.8533
357,"",357,1096,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,1988.0,4.05,59276,63769,1458,100,100,3.66,343,343,4.853
1032,"",1032,1224415,Trump: The Art of the Deal,"Donald J. Trump, Tony Schwartz",1987.0,3.66,8768,10055,650,100,100,3.83,305,305,4.8461
1420,"",1420,1885548,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,4.0,515820,576894,8889,100,100,4.07,265,265,4.845
662,"",662,817219,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",1957.0,3.68,283295,296645,14666,100,100,4.08,262,262,4.8431
2932,"",2932,604666,Robinson Crusoe,"Daniel Defoe, Gerald McCann, Virginia Woolf",1719.0,3.66,178188,196865,4603,100,100,3.78,309,309,4.8406
968,"",968,2982101,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,2003.0,3.79,1447148,1557292,41560,100,100,3.41,372,372,4.8314
475,"",475,1041106,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,2004.0,3.92,44238,47025,2667,100,98,3.74,306,306,4.8292
456,"",456,1128381,Leviathan,Paul Auster,1992.0,3.95,10002,11794,517,100,100,4.09,249,249,4.8273
4381,"",4381,1272463,Fahrenheit 451,Ray Bradbury,1953.0,3.97,570498,1176240,30694,100,100,4.15,236,236,4.8206
2067,"",2067,598404,Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,2006.0,3.89,8381,9366,383,100,100,3.63,316,316,4.8184
446,"",446,1991577,The Brooklyn Follies,Paul Auster,2005.0,3.81,15635,18350,1348,100,100,4.19,217,217,4.7994
827,"",827,2181158,"The Diamond Age: or, A Young Lady's Illustrated Primer",Neal Stephenson,1995.0,4.19,61836,66621,2821,100,100,3.96,239,239,4.787
2187,"",2187,1352495,Middlesex,Jeffrey Eugenides,2002.0,3.98,488243,507998,20880,100,99,3.75,268,268,4.785
840,"",840,18518,The Design of Everyday Things,Donald A. Norman,1988.0,4.18,11838,15202,1192,100,100,4.19,206,206,4.7813
1848,"",1848,2969000,Wild Swans: Three Daughters of China,Jung Chang,1991.0,4.23,60193,67548,4426,100,100,3.66,279,279,4.781
428,"",428,4703,Play It as It Lays,"Joan Didion, David Thomson",1970.0,3.86,17411,18447,1440,100,100,3.96,232,232,4.7767
1371,"",1371,3293141,The Iliad,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750.0,3.83,241088,273565,4763,100,100,4.03,220,220,4.7722
34,"",34,3204327,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,1954.0,4.34,1766803,1832541,15333,100,99,2.77,450,450,4.7698
822,"",822,934263,"The Confusion (The Baroque Cycle, #2)",Neal Stephenson,2004.0,4.24,17381,19175,621,100,100,3.68,267,267,4.7696
830,"",830,493634,Snow Crash,Neal Stephenson,1992.0,4.02,175883,187292,7075,100,100,3.68,261,261,4.7617
2872,"",2872,2220311,Falling Angels,Tracy Chevalier,2001.0,3.55,18465,19931,1260,100,100,4.19,194,194,4.7604
880,"",880,268880,Pompeii,Robert   Harris,2003.0,3.79,22734,26679,1800,100,100,3.67,260,260,4.7584
1381,"",1381,3356006,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,3.73,670326,710757,8101,100,100,3.73,250,250,4.7567
1307,"",1307,728299,"Fire Sea (The Death Gate Cycle, #3)","Margaret Weis, Tracy Hickman",1991.0,4.05,14707,15554,183,100,100,3.43,286,286,4.7436
1869,"",1869,1840613,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2001.0,3.6,152786,157470,5723,100,100,4.07,195,195,4.7381
8695,"",8695,1877624,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",Douglas Adams,1980.0,4.22,153838,172365,3851,99,98,3.9899,202,202,4.7299
825,"",825,934262,Zodiac,Neal Stephenson,1988.0,3.7,13353,14803,569,100,99,3.66,240,240,4.7285
3388,"",3388,2771048,Corelli's Mandolin,Louis de Bernières,1994.0,3.95,57583,65596,2279,100,100,3.79,219,219,4.7226
353,"",353,75443,Time Enough for Love,Robert A. Heinlein,1973.0,3.96,25603,27482,683,100,100,3.87,208,208,4.7206
1005,"",30186948,1199320,Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century,Napoleon Hill,1937.0,4.17,87445,117444,3272,100,100,3.38,273,273,4.7174
3885,"",3885,7609,The Taste of Home Cookbook,"Janet Briggs, Beth Wittlinger",2006.0,4.25,14469,14543,38,100,100,4.55,139,139,4.7164
930,"",929,1558965,Memoirs of a Geisha,Arthur Golden,1997.0,4.08,1300209,1418172,25605,100,100,3.7,213,213,4.6949
1110,"",1110,3204998,The Broker,John Grisham,2005.0,3.77,65428,69823,2266,100,100,3.99,180,180,4.6943
4898,"",4898,1848380,Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant,"W. Chan Kim, Renée Mauborgne",2004.0,3.86,30665,32514,679,100,100,4.02,176,176,4.6925
2794,"",2794,1477756,The Crying of Lot 49,Thomas Pynchon,1966.0,3.7,48692,54779,3489,100,100,4.09,168,168,4.6903
431,"",431,2343071,The New York Trilogy,"Paul Auster, Art Spiegelman",1987.0,3.92,34730,42965,2418,100,100,3.95,182,182,4.6901
1990,"",1990,901325,Martin Chuzzlewit,"Charles Dickens, Patricia Ingham, Hablot Knight Browne",1844.0,3.82,11784,12637,424,100,98,3.85,189,189,4.6833
5148,"",5148,39755,A Separate Peace,John Knowles,1959.0,3.56,155901,162403,5580,100,100,3.95,178,178,4.6824
960,"",960,3338963,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,2000.0,3.85,2001311,2078754,25112,100,100,4.06,166,166,4.6801
1849,"",1849,2834249,"Wild Fire (John Corey, #4)",Nelson DeMille,2006.0,3.99,18529,20172,959,100,99,3.75,198,198,4.6795
3,"",3,4640799,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",1997.0,4.44,4602479,4800065,75867,100,100,3.09,287,287,4.6768
1191,"",1191,5386,Giada's Family Dinners,"Giada De Laurentiis, Victoria Pearson",2006.0,3.99,12061,12081,68,100,100,3.81,189,189,4.6753
1241,"",1241,3140930,A Million Little Pieces,James Frey,2003.0,3.62,184241,189931,10857,100,100,3.95,172,172,4.6705
1519,"",1519,2378,"The Oresteia  (Ορέστεια, #1-3)","Aeschylus, Robert Fagles, William Bedell Stanford",-458.0,3.99,24588,28162,705,100,100,4.1,157,157,4.6687
5360,"",5360,1125216,A Painted House,John Grisham,2001.0,3.67,59974,64092,3334,100,99,4.04,162,162,4.6676
1375,"",1375,1474309,The Iliad/The Odyssey,"Homer, Robert Fagles, Bernard Knox",-762.0,4.03,47825,51098,537,100,100,3.34,240,240,4.6645
386,"",386,3328037,Another Bullshit Night in Suck City,Nick Flynn,2004.0,3.77,8441,8963,909,100,100,3.98,166,166,4.6641
3061,"",3061,6924,The Natural Way to Draw,"Kimon Nicolaides, Mamie Harmon",1941.0,3.88,30880,30957,50,100,100,3.96,164,164,4.6559
9569,"",9569,2124286,Villa Incognito,Tom Robbins,2003.0,3.65,14206,15763,642,97,96,4.6186,115,115,4.6507
6425,"",6425,1616132,"Hard Eight (Stephanie Plum, #8)","Janet Evanovich, Lorelei King",2002.0,4.17,93057,97450,1871,100,100,4.09,149,149,4.6485
5544,"",5544,321174,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard Feynman,1984.0,4.29,91625,97719,3500,100,100,3.72,182,182,4.6441
447,"",447,168560,Moon Palace,Paul Auster,1989.0,3.99,12170,14552,622,100,100,3.46,207,207,4.6369
1319,"",1319,722104,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,"Steven Pressfield, Robert McKee",2002.0,4.07,31399,37038,3578,100,100,3.73,174,174,4.6305
5187,"",5187,3234420,The Book of Ruth,Jane Hamilton,1988.0,3.82,56842,57244,1139,100,100,4.09,139,139,4.6244
2137,"",2137,1216429,A Home at the End of the World,Michael Cunningham,1990.0,3.89,13228,14967,780,100,100,3.71,169,169,4.6163
4135,"",4135,7838,I Like You: Hospitality Under the Influence,Amy Sedaris,2006.0,3.87,34212,34919,1412,100,100,3.84,156,156,4.6145
5161,"",5161,1207024,"The Deep End of the Ocean (Cappadora Family, #1)",Jacquelyn Mitchard,1996.0,3.84,102733,104471,1095,100,100,3.94,147,147,4.6138
2183,"",2183,314156,Sentimental Education,"Gustave Flaubert, Robert Baldick, Geoffrey Wall",1869.0,3.83,11642,13782,510,100,100,3.78,161,161,4.6135
760,"",760,2166510,Memories of My Melancholy Whores,"Gabriel García Márquez, Edith Grossman",2004.0,3.59,33534,50285,3018,100,100,4.24,123,123,4.6119
6614,"",6614,2713437,Lipstick Jungle,Candace Bushnell,2005.0,3.39,35792,37339,945,100,97,4.05,137,137,4.6113
1171,"",7865083,855103,Liar's Poker,Michael   Lewis,1989.0,4.16,22315,53700,1678,100,100,3.63,174,174,4.6105
415,"",415,866393,Gravity's Rainbow,Thomas Pynchon,1973.0,4.03,24990,28232,2466,100,100,3.22,217,217,4.6054
1624,"",1624,192528,West with the Night,Beryl Markham,1942.0,4.18,19738,21928,2226,100,100,3.7,164,164,4.6039
676,"",676,752463,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,2001.0,4.24,10999,11254,575,100,100,3.49,180,180,4.5943
2255,"",2255,856599,Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,1980.0,4.13,34136,36716,1579,100,100,3.86,145,145,4.5931
3692,"",3692,3266950,The Heart of the Matter,Graham Greene,1948.0,3.98,19149,21135,995,100,100,4.22,116,116,4.5876
3763,"",3763,171188,"Live and Let Die (James Bond, #2)",Ian Fleming,1954.0,3.62,14230,17626,1146,100,100,3.76,149,149,4.5825
1845,"",1845,3284484,Into the Wild,Jon Krakauer,1996.0,3.94,647684,665377,17299,100,100,3.72,152,152,4.5815
4981,"",4981,1683562,Slaughterhouse-Five,Kurt Vonnegut Jr.,1969.0,4.06,846488,891762,19646,99,99,4.101,123,123,4.5796
5368,"",5368,2522906,Forever Amber,Kathleen Winsor,1944.0,3.98,13286,14607,958,100,100,3.65,157,157,4.5787
6423,"",6423,1874115,"High Five (Stephanie Plum, #5)",Janet Evanovich,1999.0,4.17,92737,101162,2225,100,99,4.25,111,111,4.5783
667,"",667,287946,Anthem,Ayn Rand,1938.0,3.62,95620,106766,7096,100,100,3.82,142,142,4.5778
2978,"",2978,1180015,Lost Horizon,James Hilton,1933.0,3.9,10907,13070,1093,100,100,4.31,107,107,4.5776
1103,"",1103,1453585,Snow Flower and the Secret Fan,Lisa See,2005.0,4.05,280475,290660,15807,100,100,3.85,139,139,4.5764
706,"",706,1589081,America (The Book): A Citizen's Guide to Democracy Inaction,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",2004.0,4.02,74511,79555,1378,100,100,3.68,152,152,4.5735
1846,"",1846,5967,Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,2001.0,3.93,50215,52613,1581,100,100,3.34,184,184,4.5719
4830,"",4830,1214874,Shalimar the Clown,Salman Rushdie,2005.0,3.86,10396,11231,809,100,100,3.89,134,134,4.5717
1427,"",1427,3341790,The Zahir,"Paulo Coelho, Margaret Jull Costa",2005.0,3.56,50921,56047,2731,100,100,3.7,149,149,4.5705
3711,"",3711,7480,White Teeth,Zadie Smith,1999.0,3.75,82474,90629,5347,100,100,3.78,142,142,4.5698
5345,"",5345,3202981,The Innocent Man: Murder and Injustice in a Small Town,John Grisham,2006.0,3.79,43793,48240,3891,100,100,3.74,142,142,4.5618
5439,"",5439,3301398,Interpreter of Maladies,Jhumpa Lahiri,1999.0,4.12,110651,125062,8145,100,99,4.09,116,116,4.5616
656,"",656,4912783,War and Peace,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",1869.0,4.11,168037,192992,8062,100,100,3.37,174,174,4.5585
1953,"",1953,2956372,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,3.81,637412,677713,13093,100,100,3.65,148,148,4.5582
7455,"",7455,3297002,Sex and the City,Candace Bushnell,1996.0,3.37,39710,42366,1590,100,100,4.25,104,104,4.5557
4950,"",4950,981525,The Hungry Tide,Amitav Ghosh,2004.0,3.91,9722,11085,847,100,100,3.91,126,126,4.5543
5296,"",5296,130598,An Ideal Husband,Oscar Wilde,1893.0,4.03,29952,31461,806,100,100,3.47,162,162,4.5536
6753,"",6753,1221616,Brief Interviews with Hideous Men,David Foster Wallace,1999.0,3.88,15555,19502,1460,99,98,3.5758,154,154,4.5527
1078,"",1078,2346070,"The Good Earth (House of Earth, #1)",Pearl S. Buck,1931.0,3.97,182220,193405,8259,100,100,3.89,126,126,4.5503
3102,"",3102,1902726,Howards End,E.M. Forster,1910.0,3.95,52006,58759,1930,100,100,3.65,143,143,4.5462
2156,"",2156,2534720,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0,4.13,365425,402359,13117,100,100,3.58,147,147,4.5418
3586,"",3586,6658413,"The Complete Sherlock Holmes, Vol 2","Arthur Conan Doyle, Kyle Freeman",1914.0,4.46,66857,71825,328,100,100,4.14,105,105,4.537
5350,"",5350,1110983,The Partner,John Grisham,1997.0,3.89,86870,91921,1896,100,100,3.4,156,156,4.5265
902,"",902,869832,The Westing Game,Ellen Raskin,1978.0,4.03,117108,124343,7814,100,100,4.0,109,109,4.522
4407,"",30165203,1970226,"American Gods (American Gods, #1)",Neil Gaiman,2001.0,4.11,378019,518343,27587,99,99,4.1717,99,99,4.5185
1934,"",1934,3244642,"Little Women (Little Women, #1)",Louisa May Alcott,1868.0,4.04,1257121,1314293,17090,100,100,3.33,157,157,4.5147
4929,"",4929,6191072,Kafka on the Shore,"Haruki Murakami, Philip Gabriel",2002.0,4.13,167593,195365,13279,100,99,4.37,86,86,4.5139
2279,"",2279,1732395,Truman,David McCullough,1992.0,4.15,53088,54704,1767,100,100,3.94,110,110,4.5131
3685,"",3685,4639714,Black Beauty,Anna Sewell,1877.0,3.94,183255,195205,3377,100,100,3.69,127,127,4.513
1911,"",1911,711993,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,2005.0,3.66,78271,83905,3277,100,100,3.99,105,105,4.507
621,"",621,806311,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,David Bach,2003.0,3.9,10091,10676,508,100,100,3.84,114,114,4.5055
7199,"",7199,2547473,The Way the Crow Flies,Ann-Marie MacDonald,2003.0,4.08,10227,11055,1021,99,99,3.9495,108,108,4.5042
3559,"",3559,304487,From Beirut to Jerusalem,Thomas L. Friedman,1989.0,4.1,8057,8600,704,99,99,3.8485,114,114,4.5028
3985,"",3985,2693329,The Amazing Adventures of Kavalier & Clay,Michael Chabon,2000.0,4.17,147717,156603,9326,100,100,3.61,129,129,4.5024
1618,"",1618,4259809,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003.0,3.85,867553,915790,35796,100,100,4.48,78,78,4.5021
3381,"",3381,919466,Hey Nostradamus!,Douglas Coupland,2003.0,3.72,14645,16109,621,100,100,4.08,98,98,4.5011
890,"",890,40283,Of Mice and Men,John Steinbeck,1937.0,3.84,1467496,1518741,24642,100,99,4.16,93,93,4.499
5180,"",5180,1959357,The Rapture of Canaan,Sheri Reynolds,1995.0,3.8,30267,30649,773,99,99,4.0707,99,99,4.4983
4692,"",4692,1612436,"The Physician (Cole Family Trilogy, #1)",Noah Gordon,1986.0,4.35,19310,25952,1369,100,100,4.12,95,95,4.4983
8698,"",6091075,3078120,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,1984.0,4.08,93774,109535,2020,100,98,4.04,99,99,4.4966
599,"",599,929649,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,2003.0,3.75,56548,57867,3344,100,100,3.86,108,108,4.4908
2615,"",2615,1468535,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business (Collins Business Essentials),Clayton M. Christensen,1997.0,4.0,21997,24443,681,100,100,3.57,127,127,4.489
1202,"",1202,5397,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",2005.0,3.93,524191,549301,13668,100,100,3.77,113,113,4.4885
1052,"",1052,5265,The Richest Man in Babylon,George S. Clason,1926.0,4.23,50206,55675,2524,100,100,3.61,123,123,4.4859
629,"",629,175720,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,1974.0,3.76,139411,153992,6535,100,100,3.55,125,125,4.4795
3867,"",3867,1882970,The History of Love,Nicole Krauss,2005.0,3.91,98379,103470,9622,100,98,3.77,110,110,4.4791
703,"",703,911456,The Plot Against America,Philip Roth,2004.0,3.71,26262,29204,2482,100,99,3.64,118,118,4.4775
2743,"",2743,23673,The Lost Boy (Dave Pelzer #2),Dave Pelzer,1997.0,4.08,46847,50258,2495,100,99,4.4,76,76,4.4771
1591,"",1591,2482177,Lysistrata,"Aristophanes, Sarah Ruden",-411.0,3.84,25758,28283,653,100,100,4.01,95,95,4.4763
2865,"",2865,3358875,Girl with a Pearl Earring,Tracy Chevalier,1999.0,3.85,467577,492177,8011,100,100,4.53,70,70,4.4747
5182,"",5182,846655,Songs in Ordinary Time,Mary McGarry Morris,1995.0,3.68,27034,27328,489,100,100,4.05,91,91,4.4694
