book_id,title,authors,publication_year,language_code,average_rating,ratings_count,work_ratings_count,global_popularity_score,global_popularity_level,to_read_count,tag_count,local_loan_count,local_active_loan_count,local_late_count,demand_score,recommended_stock,quantity,available_quantity,top_tags_json
11,The Kite Runner,Khaled Hosseini,2003,eng,4.26,1813044,1878095,33014.03933832425,élevée,1767,100,2,0,0,33254.03933832425,2,2,0,"[""favorites"", ""fiction"", ""to-read"", ""historical-fiction"", ""books-i-own"", ""owned"", ""book-club"", ""contemporary""]"
12,"Divergent (Divergent, #1)",Veronica Roth,2011,eng,4.24,1903563,2216814,32958.096926532206,élevée,1082,100,5,1,0,33558.096926532206,3,6,1,"[""favorites"", ""currently-reading"", ""to-read"", ""young-adult"", ""dystopian"", ""ya"", ""fiction"", ""books-i-own""]"
13,1984,"George Orwell, Erich Fromm, Celâl Üster",1949,eng,4.14,1956832,2053394,33177.5786581132,élevée,1812,100,1,0,0,33297.5786581132,2,7,6,"[""fiction"", ""science-fiction"", ""sci-fi"", ""dystopian"", ""classic"", ""currently-reading"", ""books-i-own"", ""literature""]"
14,Animal Farm,George Orwell,1945,eng,3.87,1881700,1982987,32838.41705642645,élevée,1127,100,2,2,1,33048.41705642645,2,2,0,"[""classics"", ""fiction"", ""favorites"", ""classic"", ""dystopia"", ""fantasy"", ""literature"", ""owned""]"
15,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,eng,4.1,1972666,2024493,32794.92044505022,élevée,852,100,3,0,0,33154.92044505022,3,7,4,"[""non-fiction"", ""classics"", ""history"", ""biography"", ""to-read"", ""nonfiction"", ""memoir"", ""young-adult""]"
16,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",2005,eng,4.11,1808403,1929834,32910.21664804605,élevée,1425,100,0,0,0,32910.21664804605,2,2,2,"[""to-read"", ""currently-reading"", ""fiction"", ""mystery"", ""favorites"", ""thriller"", ""crime"", ""books-i-own""]"
17,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,2009,eng,4.3,1831039,1988079,32528.37084619674,élevée,591,100,2,2,0,32768.37084619674,2,5,3,"[""young-adult"", ""dystopia"", ""fantasy"", ""sci-fi"", ""to-read"", ""series"", ""owned"", ""romance""]"
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",1999,eng,4.53,1832823,1969375,32383.952504584075,élevée,428,100,4,3,3,32773.95250458407,3,6,2,"[""favorites"", ""fantasy"", ""currently-reading"", ""young-adult"", ""to-read"", ""fiction"", ""harry-potter"", ""books-i-own""]"
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,1954,eng,4.34,1766803,1832541,32550.564370653083,élevée,761,100,3,0,0,32910.56437065308,3,3,0,"[""fantasy"", ""to-read"", ""classics"", ""fiction"", ""books-i-own"", ""classic"", ""adventure"", ""currently-reading""]"
20,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,2010,eng,4.03,1719760,1870748,32448.962047278987,élevée,682,100,1,1,0,32568.962047278987,2,2,1,"[""currently-reading"", ""favorites"", ""young-adult"", ""dystopian"", ""fiction"", ""dystopia"", ""ya"", ""fantasy""]"
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",2003,eng,4.46,1735368,1840548,32256.09791614672,élevée,427,100,2,0,0,32496.09791614672,2,6,4,"[""to-read"", ""currently-reading"", ""fantasy"", ""favorites"", ""children"", ""children-s"", ""all-time-favorites"", ""default""]"
22,The Lovely Bones,Alice Sebold,2002,eng,3.77,1605173,1661562,32397.54380806711,élevée,925,100,4,1,1,32847.54380806711,3,7,3,"[""to-read"", ""fiction"", ""favorites"", ""mystery"", ""books-i-own"", ""currently-reading"", ""young-adult"", ""owned""]"
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",1998,eng,4.37,1779331,1906199,32282.453694730604,élevée,408,100,1,1,0,32402.453694730604,2,2,1,"[""fantasy"", ""favorites"", ""currently-reading"", ""young-adult"", ""fiction"", ""harry-potter"", ""books-i-own"", ""owned""]"
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",2000,eng,4.53,1753043,1868642,32292.028355788163,élevée,431,100,2,1,0,32532.028355788163,2,3,1,"[""fantasy"", ""young-adult"", ""fiction"", ""harry-potter"", ""owned"", ""ya"", ""series"", ""favourites""]"
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",2007,eng,4.61,1746574,1847395,32344.305298218354,élevée,484,100,3,1,1,32674.305298218354,3,6,3,"[""favorites"", ""fantasy"", ""young-adult"", ""fiction"", ""harry-potter"", ""books-i-own"", ""owned"", ""ya""]"
26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,2003,eng,3.79,1447148,1557292,31860.291474992275,élevée,447,100,1,0,0,31980.291474992275,2,3,2,"[""fiction"", ""currently-reading"", ""favorites"", ""thriller"", ""to-read"", ""books-i-own"", ""owned"", ""dan-brown""]"
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",2005,eng,4.54,1678823,1785676,32212.821172455024,élevée,438,100,0,0,0,32212.821172455024,2,6,6,"[""to-read"", ""fantasy"", ""favorites"", ""currently-reading"", ""young-adult"", ""fiction"", ""harry-potter"", ""books-i-own""]"
28,Lord of the Flies,William Golding,1954,eng,3.64,1605019,1671484,32497.078178218988,élevée,1148,100,2,0,0,32737.078178218988,2,7,5,"[""classics"", ""to-read"", ""fiction"", ""favorites"", ""classic"", ""young-adult"", ""school"", ""literature""]"
29,Romeo and Juliet,"William Shakespeare, Robert           Jackson",1595,eng,3.73,1628519,1672889,31928.40516506363,élevée,348,100,0,0,0,31928.40516506363,2,3,3,"[""to-read"", ""classics"", ""plays"", ""fiction"", ""romance"", ""classic"", ""favorites"", ""shakespeare""]"
30,Gone Girl,Gillian Flynn,2012,eng,4.03,512475,1626519,30964.52795241854,élevée,801,100,2,1,1,31174.52795241854,2,4,2,"[""to-read"", ""favorites"", ""mystery"", ""crime"", ""fiction"", ""contemporary"", ""kindle"", ""thriller""]"
31,The Help,Kathryn Stockett,2009,eng,4.45,1531753,1603545,32593.992591878487,élevée,1417,100,4,3,2,33013.99259187849,3,6,2,"[""to-read"", ""currently-reading"", ""favorites"", ""fiction"", ""historical-fiction"", ""book-club"", ""books-i-own"", ""historical""]"
32,Of Mice and Men,John Steinbeck,1937,eng,3.84,1467496,1518741,32203.519369675858,élevée,886,100,3,2,1,32533.519369675858,3,5,2,"[""classics"", ""to-read"", ""fiction"", ""favorites"", ""classic"", ""school"", ""literature"", ""historical-fiction""]"
33,Memoirs of a Geisha,Arthur Golden,1997,eng,4.08,1300209,1418172,32132.802423704823,élevée,1094,100,0,0,0,32132.802423704823,2,8,8,"[""to-read"", ""favorites"", ""fiction"", ""historical-fiction"", ""currently-reading"", ""romance"", ""historical"", ""books-i-own""]"
34,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,2011,eng,3.67,1338493,1436818,31693.55422113326,élevée,450,100,1,0,0,31813.55422113326,2,6,5,"[""to-read"", ""currently-reading"", ""romance"", ""book-club"", ""fifty-shades"", ""fiction"", ""abandoned"", ""my-books""]"
35,The Alchemist,"Paulo Coelho, Alan R. Clarke",1988,eng,3.82,1299566,1403995,32280.556233161806,élevée,1576,100,0,0,0,32280.556233161806,2,8,8,"[""to-read"", ""currently-reading"", ""fiction"", ""favorites"", ""classics"", ""fantasy"", ""philosophy"", ""owned""]"
36,"The Giver (The Giver, #1)",Lois Lowry,1993,eng,4.12,1296825,1345445,32142.31883323203,élevée,1211,100,2,2,2,32322.31883323203,2,2,0,"[""to-read"", ""favorites"", ""children"", ""fiction"", ""classics"", ""currently-reading"", ""school-books"", ""teen""]"
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950,eng,4.19,1531800,1584884,31971.273051494183,élevée,437,100,2,0,0,32211.273051494183,2,7,5,"[""fantasy"", ""to-read"", ""classics"", ""favorites"", ""fiction"", ""young-adult"", ""childrens"", ""children""]"
38,The Time Traveler's Wife,Audrey Niffenegger,2003,eng,3.95,746287,1308667,31405.485281655598,élevée,1130,100,0,0,0,31405.485281655598,2,4,4,"[""to-read"", ""fiction"", ""romance"", ""fantasy"", ""time-travel"", ""books-i-own"", ""sci-fi"", ""owned""]"
39,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,1996,eng,4.45,1319204,1442220,32396.494398145474,élevée,1619,100,1,0,0,32516.494398145474,2,4,3,"[""to-read"", ""fiction"", ""currently-reading"", ""owned"", ""epic-fantasy"", ""favourites"", ""fantasy"", ""sci-fi-fantasy""]"
40,"Eat, Pray, Love",Elizabeth Gilbert,2006,eng,3.51,1181647,1206597,31712.764414201672,élevée,862,100,3,1,1,32042.764414201672,3,3,0,"[""to-read"", ""non-fiction"", ""memoir"", ""travel"", ""currently-reading"", ""nonfiction"", ""book-club"", ""fiction""]"
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,2005,eng,4.23,1366265,1411114,32084.809403547613,élevée,863,100,1,0,0,32204.809403547613,2,5,4,"[""to-read"", ""fantasy"", ""favorites"", ""currently-reading"", ""young-adult"", ""mythology"", ""books-i-own"", ""ya""]"
42,"Little Women (Little Women, #1)",Louisa May Alcott,1868,en-US,4.04,1257121,1314293,31800.925635216416,élevée,695,100,3,0,0,32160.925635216416,3,8,5,"[""to-read"", ""currently-reading"", ""classics"", ""favorites"", ""fiction"", ""classic"", ""young-adult"", ""historical-fiction""]"
43,Jane Eyre,"Charlotte Brontë, Michael Mason",1847,eng,4.1,1198557,1286135,31895.742067254945,élevée,964,100,1,0,0,32015.742067254945,2,8,7,"[""to-read"", ""clàssics"", ""literature"", ""gothic"", ""historical"", ""favorites"", ""19th-century"", ""kindle""]"
44,"The Notebook (The Notebook, #1)",Nicholas Sparks,1996,eng,4.06,1053403,1076749,31208.770578245803,élevée,445,100,2,0,0,31448.770578245803,2,2,0,"[""to-read"", ""fiction"", ""nicholas-sparks"", ""currently-reading"", ""chick-lit"", ""books-i-own"", ""romance"", ""owned""]"
45,Life of Pi,Yann Martel,2001,,3.88,1003228,1077431,31807.012070334775,élevée,1717,100,3,1,1,32137.012070334775,3,4,1,"[""to-read"", ""fantasy"", ""book-club"", ""currently-reading"", ""adventure"", ""classics"", ""contemporary"", ""literature""]"
46,Water for Elephants,Sara Gruen,2006,eng,4.07,1068146,1108839,31794.744186191594,élevée,1325,100,1,0,0,31914.744186191594,2,8,7,"[""to-read"", ""currently-reading"", ""fiction"", ""favorites"", ""historical-fiction"", ""romance"", ""books-i-own"", ""bookclub""]"
47,The Book Thief,Markus Zusak,2005,eng,4.36,1159741,1287798,32411.048366324343,élevée,2772,100,2,1,0,32651.048366324343,2,7,5,"[""favorites"", ""to-read"", ""historical-fiction"", ""fiction"", ""young-adult"", ""books-i-own"", ""book-club"", ""ya""]"
48,Fahrenheit 451,Ray Bradbury,1953,spa,3.97,570498,1176240,30837.81865755684,élevée,817,100,0,0,0,30837.81865755684,2,3,3,"[""to-read"", ""classics"", ""currently-reading"", ""favorites"", ""fiction"", ""science-fiction"", ""sci-fi"", ""dystopia""]"
49,"New Moon (Twilight, #2)",Stephenie Meyer,2006,eng,3.52,1149630,1199000,31042.072031241874,élevée,242,100,4,1,1,31492.072031241874,3,4,0,"[""to-read"", ""young-adult"", ""fantasy"", ""romance"", ""currently-reading"", ""vampires"", ""favorites"", ""ya""]"
50,Where the Sidewalk Ends,Shel Silverstein,1974,eng,4.29,1016888,1023781,30898.13254597039,élevée,269,100,2,1,1,31108.13254597039,2,5,3,"[""to-read"", ""poetry"", ""favorites"", ""childrens"", ""children"", ""currently-reading"", ""classics"", ""children-s""]"
51,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,2007,eng,4.12,1154031,1241799,31865.504377132962,élevée,1047,100,1,0,0,31985.504377132962,2,5,4,"[""favorites"", ""young-adult"", ""to-read"", ""paranormal"", ""romance"", ""urban-fantasy"", ""series"", ""owned""]"
52,"Eclipse (Twilight, #3)",Stephenie Meyer,2007,en-US,3.69,1134511,1176642,31061.93742947901,élevée,259,100,3,1,0,31421.93742947901,3,4,1,"[""young-adult"", ""fantasy"", ""favorites"", ""romance"", ""vampires"", ""currently-reading"", ""to-read"", ""ya""]"
53,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,2002,en-US,3.86,1104021,1125231,31449.839541003876,élevée,625,100,2,0,0,31689.839541003876,2,3,1,"[""fantasy"", ""to-read"", ""favorites"", ""young-adult"", ""fiction"", ""ya"", ""dragons"", ""books-i-own""]"
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979,en-US,4.2,936782,1006479,31578.03650195407,élevée,1339,100,1,0,0,31698.03650195407,2,6,5,"[""to-read"", ""currently-reading"", ""science-fiction"", ""favorites"", ""sci-fi"", ""fiction"", ""humor"", ""fantasy""]"
55,Brave New World,Aldous Huxley,1932,eng,3.97,1022601,1079135,31752.663282976235,élevée,1441,100,2,1,0,31992.663282976235,2,2,0,"[""to-read"", ""classics"", ""fiction"", ""favorites"", ""science-fiction"", ""sci-fi"", ""dystopia"", ""dystopian""]"
56,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,2008,en-US,3.7,1070245,1107709,30995.803447278286,élevée,287,100,2,0,0,31235.803447278286,2,3,1,"[""to-read"", ""fantasy"", ""default"", ""young-adult"", ""sci-fi-fantasy"", ""my-library"", ""contemporary"", ""ya""]"
57,The Secret Life of Bees,Sue Monk Kidd,2001,en-US,4.01,916189,937393,31328.6394152116,élevée,998,100,4,2,2,31748.6394152116,3,4,0,"[""to-read"", ""fiction"", ""currently-reading"", ""favorites"", ""historical-fiction"", ""book-club"", ""books-i-own"", ""young-adult""]"
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",1884,eng,3.8,953758,1001491,31088.051320765047,élevée,525,100,4,2,1,31538.051320765047,3,4,0,"[""currently-reading"", ""classics"", ""fiction"", ""classic"", ""favorites"", ""to-read"", ""historical-fiction"", ""literature""]"
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",1952,eng,4.15,1064521,1084842,30987.259793758745,élevée,270,100,1,1,1,31077.259793758745,2,4,3,"[""to-read"", ""classics"", ""childrens"", ""fiction"", ""children"", ""favorites"", ""children-s"", ""children-s-books""]"
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003,eng,3.85,867553,915790,31290.14086124541,élevée,1129,100,3,0,0,31650.14086124541,3,5,2,"[""to-read"", ""currently-reading"", ""fiction"", ""favorites"", ""young-adult"", ""owned"", ""books-i-own"", ""classics""]"
61,The Girl on the Train,Paula Hawkins,2015,eng,3.88,1008778,1226485,31827.640853145956,élevée,1435,100,1,0,0,31947.640853145956,2,2,1,"[""to-read"", ""mystery"", ""fiction"", ""thriller"", ""book-club"", ""favorites"", ""read-in-2015"", ""crime""]"
62,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,1995,eng,3.94,953970,994914,31236.35225304179,élevée,694,100,1,0,0,31356.35225304179,2,8,7,"[""to-read"", ""fantasy"", ""favorites"", ""young-adult"", ""currently-reading"", ""fiction"", ""ya"", ""owned""]"
63,Wuthering Heights,"Emily Brontë, Richard J. Dunn",1847,eng,3.82,899195,1001135,31325.072337968042,élevée,969,100,1,1,1,31415.072337968042,2,8,7,"[""classics"", ""favorites"", ""to-read"", ""fiction"", ""classic"", ""romance"", ""books-i-own"", ""owned""]"
64,My Sister's Keeper,Jodi Picoult,2004,eng,4.06,863879,887880,30928.480863480505,élevée,557,100,2,0,0,31168.480863480505,2,6,4,"[""to-read"", ""fiction"", ""currently-reading"", ""favorites"", ""books-i-own"", ""jodi-picoult"", ""contemporary"", ""chick-lit""]"
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,1969,eng,4.06,846488,891762,31437.07160139383,élevée,1608,100,2,1,0,31677.07160139383,2,2,0,"[""to-read"", ""currently-reading"", ""classics"", ""fiction"", ""favorites"", ""science-fiction"", ""sci-fi"", ""classic""]"
66,Gone with the Wind,Margaret Mitchell,1936,eng,4.28,873981,897303,31338.354485897064,élevée,1158,100,5,1,1,31908.354485897064,3,7,2,"[""to-read"", ""classics"", ""favorites"", ""historical-fiction"", ""fiction"", ""romance"", ""classic"", ""historical""]"
67,A Thousand Splendid Suns,Khaled Hosseini,2007,eng,4.34,818742,866065,31315.043551306815,élevée,1352,100,1,1,1,31405.043551306815,2,2,1,"[""to-read"", ""favorites"", ""fiction"", ""historical-fiction"", ""book-club"", ""books-i-own"", ""owned"", ""favourites""]"
68,The Perks of Being a Wallflower,Stephen Chbosky,1999,eng,4.21,888806,954905,31442.29623854635,élevée,1257,100,2,0,0,31682.29623854635,2,2,0,"[""favorites"", ""to-read"", ""fiction"", ""ya"", ""books-i-own"", ""contemporary"", ""favourites"", ""owned""]"
69,"Insurgent (Divergent, #2)",Veronica Roth,2012,eng,4.07,836362,947338,31067.849354846032,élevée,716,100,1,0,0,31187.849354846032,2,5,4,"[""to-read"", ""currently-reading"", ""favorites"", ""young-adult"", ""dystopian"", ""dystopia"", ""ya"", ""books-i-own""]"
70,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,1985,eng,4.3,813439,873417,31198.71368370033,élevée,1082,100,1,0,0,31318.71368370033,2,6,5,"[""to-read"", ""science-fiction"", ""favorites"", ""sci-fi"", ""currently-reading"", ""fiction"", ""young-adult"", ""fantasy""]"
71,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,eng,3.75,808589,883563,30916.01088750565,élevée,683,100,4,2,1,31366.01088750565,3,4,0,"[""classics"", ""fiction"", ""horror"", ""favorites"", ""to-read"", ""sci-fi"", ""books-i-own"", ""owned""]"
72,The Shining (The Shining #1),Stephen King,1977,eng,4.17,791850,830881,30808.112153020098,élevée,587,100,3,2,2,31108.112153020098,3,8,5,"[""fiction"", ""owned"", ""to-read"", ""fantasy"", ""king"", ""mystery"", ""supernatural"", ""suspense""]"
73,"The Host (The Host, #1)",Stephenie Meyer,2008,en-US,3.84,749780,777560,30737.247544570153,élevée,690,100,3,1,1,31067.247544570153,3,6,3,"[""to-read"", ""sci-fi"", ""science-fiction"", ""fiction"", ""dystopian"", ""ya"", ""dystopia"", ""paranormal""]"
74,Looking for Alaska,John Green,2005,eng,4.09,783470,831285,31101.811529514664,élevée,1101,100,3,0,0,31461.811529514664,3,7,4,"[""favorites"", ""young-adult"", ""to-read"", ""ya"", ""books-i-own"", ""fiction"", ""contemporary"", ""owned""]"
75,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,1996,eng,3.75,736498,754498,30341.17913508048,élevée,348,100,2,1,1,30551.17913508048,2,7,5,"[""to-read"", ""chick-lit"", ""fiction"", ""currently-reading"", ""romance"", ""favorites"", ""humor"", ""contemporary""]"
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",1811,eng,4.06,738894,779382,30793.1286307673,élevée,762,100,0,0,0,30793.1286307673,2,6,6,"[""fiction"", ""favorites"", ""books-i-own"", ""owned"", ""historical-fiction"", ""literature"", ""owned-books"", ""classic-literature""]"
77,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",1998,eng,3.93,747445,764637,30242.287251222002,élevée,260,100,4,1,1,30692.287251222002,3,8,4,"[""to-read"", ""young-adult"", ""fiction"", ""currently-reading"", ""ya"", ""childrens"", ""books-i-own"", ""childhood""]"
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,2003,eng,3.7,665930,679845,30106.994357852855,élevée,331,100,1,0,0,30226.994357852855,2,8,7,"[""to-read"", ""chick-lit"", ""fiction"", ""books-i-own"", ""favorites"", ""contemporary"", ""owned"", ""chicklit""]"
79,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,eng,3.73,670326,710757,30416.645871486897,élevée,561,100,2,2,1,30626.645871486897,2,3,1,"[""to-read"", ""classics"", ""currently-reading"", ""fiction"", ""poetry"", ""classic"", ""favorites"", ""mythology""]"
80,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,eng,4.28,738757,859286,30827.996271964003,élevée,669,100,1,0,0,30947.996271964003,2,3,2,"[""to-read"", ""fantasy"", ""childrens"", ""children"", ""classic"", ""french"", ""books-i-own"", ""children-s""]"
81,The Glass Castle,Jeannette Walls,2005,eng,4.24,621099,637866,30540.859284980157,élevée,928,100,2,0,0,30780.859284980157,2,2,0,"[""to-read"", ""currently-reading"", ""favorites"", ""non-fiction"", ""memoir"", ""book-club"", ""nonfiction"", ""memoirs""]"
82,Into the Wild,Jon Krakauer,1996,eng,3.94,647684,665377,30464.021429947046,élevée,714,100,2,2,2,30644.021429947046,2,2,0,"[""to-read"", ""non-fiction"", ""currently-reading"", ""favorites"", ""nonfiction"", ""biography"", ""adventure"", ""travel""]"
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,eng,3.81,637412,677713,30654.137334052033,élevée,1082,100,3,1,1,30984.137334052033,3,3,0,"[""to-read"", ""currently-reading"", ""classics"", ""fiction"", ""favorites"", ""classic"", ""historical-fiction"", ""books-i-own""]"
84,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,1990,spa,3.96,447833,650483,29539.944608024427,élevée,281,100,2,1,0,29779.944608024427,2,2,0,"[""to-read"", ""science-fiction"", ""fiction"", ""sci-fi"", ""favorites"", ""currently-reading"", ""thriller"", ""adventure""]"
85,The Giving Tree,Shel Silverstein,1964,eng,4.38,702332,708287,30220.971608439253,élevée,299,100,1,1,1,30310.971608439253,2,2,1,"[""to-read"", ""favorites"", ""childrens"", ""currently-reading"", ""children"", ""children-s-books"", ""children-s"", ""classics""]"
86,A Time to Kill,John Grisham,1989,eng,4.03,597775,608824,29704.913590307755,élevée,214,100,2,0,0,29944.913590307755,2,4,2,"[""to-read"", ""fiction"", ""currently-reading"", ""mystery"", ""thriller"", ""john-grisham"", ""favorites"", ""crime""]"
87,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",1958,eng,4.3,691231,707879,30733.163443766047,élevée,882,100,3,1,1,31063.163443766047,3,7,4,"[""to-read"", ""non-fiction"", ""currently-reading"", ""favorites"", ""classics"", ""history"", ""nonfiction"", ""school""]"
88,Paper Towns,John Green,2008,en-US,3.88,461311,655271,29898.2249854313,élevée,539,100,2,0,0,30138.2249854313,2,6,4,"[""young-adult"", ""john-green"", ""to-read"", ""owned-books"", ""favourites"", ""ya"", ""books-i-own"", ""contemporary""]"
89,The Princess Bride ,William Goldman,1973,en-US,4.25,628637,658042,30806.946744413795,élevée,1458,100,3,1,1,31136.946744413795,3,8,5,"[""favourites"", ""to-buy"", ""currently-reading"", ""sci-fi-fantasy"", ""ya"", ""kindle"", ""all-time-favorites"", ""to-read""]"
90,The Outsiders,S.E. Hinton,1967,en-US,4.06,659248,680437,30170.6826890068,élevée,358,100,1,0,0,30290.6826890068,2,4,3,"[""to-read"", ""favorites"", ""fiction"", ""ya"", ""classics"", ""school"", ""currently-reading"", ""classic""]"
91,"The Maze Runner (Maze Runner, #1)",James Dashner,2009,eng,4.02,719925,777956,30896.678479804774,élevée,1009,100,2,1,0,31136.678479804774,2,2,0,"[""to-read"", ""currently-reading"", ""young-adult"", ""favorites"", ""dystopian"", ""dystopia"", ""ya"", ""science-fiction""]"
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",2005,en-US,3.93,524191,549301,30101.225246338006,élevée,782,100,3,0,0,30461.225246338006,3,3,0,"[""to-read"", ""nonfiction"", ""science"", ""currently-reading"", ""non-fiction"", ""psychology"", ""owned"", ""sociology""]"
93,The Secret Garden,Frances Hodgson Burnett,1911,eng,4.12,639357,692249,30255.41310852582,élevée,439,100,1,1,1,30345.41310852582,2,8,7,"[""to-read"", ""classics"", ""currently-reading"", ""favorites"", ""fiction"", ""childrens"", ""classic"", ""children""]"
94,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",1967,eng,4.04,490565,575667,30382.04544017858,élevée,1460,100,2,1,1,30592.04544017858,2,4,2,"[""classics"", ""to-read"", ""owned"", ""literature"", ""classic"", ""novels"", ""books-i-own"", ""favourites""]"
